Sl.No.,City Name,Name of Police Station,Address,Longitude,Latitude
1,Bangalore city ,MADIVALA ,"MADIVALA  ROAD  SANTHOSAPURAM, 1ST BLOCK KORAMANGALA, KORAMANGALA, BENGALURU, KARNATAKA 560068","
77.6185382","
12.9210242"
2,Bangalore city ,MICOLAYOUT ,"GOPALAN MALL OPPSOIT ,B.G ROAD ,B.T.M 2ND STAGE ,BANGALORE 560076",77.60012,12.91357
3,Bangalore city ,HULIMAVU ,"OPP TO GOVT HIGHER PRIMARY SCHOOL, GOTTIGERE, BG ROAD, BENGALURU-560083","
77.58952833","
12.85820166"
4,Bangalore city ,ELECTRONIC CITY ,"NO 216, 3RD BLOCK, KSSIDC COMPLEX, PHASE-1, ELECTRONIC CITY, BANGALORE-100","
77.66149",12.83952
5,Bangalore city ,HAL AIRPORT ,"BEHIND HAL POST OFFICE, D-32 HAL EMPLOYE QUATRES BANGALORE CITY-560017",77.667464,12.9588777
6,Bangalore city ,HSR LAYOUT ,NEAR BBMP SAMUDAYA BHAVANA IBBALURU VILLAGE BENGALURU-560102,77.66169,12.92178
7,Bangalore city ,ADUGODI ,NO 30 BBMP COMPLEX HOSUR LASKAR ROAD 1 ST FLOOR ADUGODI BANGALORE 560030,"
77.608453",12.941487
8,Bangalore city ,WHITE FIELD ,"NEAR KADUGODI BRIDGE KADUGODI, BANGALORE - 
560067","
77.45222084",12.58179508
9,Bangalore city ,K.G.HALLI ,"NAGAVARA MAIN ROAD NEAR K.G.HALLI BUS STOP A
ARABIC COLLEGE POST BENGALURU 560045","
77.619161","13.019440, "
10,Bangalore city ,K R PURA ,"OLD MADRAS ROAD, K R PURA EXTENTION. K R PURA, BANGALORE-560036",77.698921,13.011763
11,Bangalore city ,BANASAWADI ,"5TH.MAIN, 2ND BLOCK, HRBR LYT, KALYANA NAGARA BANGALORE-560043",7764009,13.01968
12,Bangalore city ,JEEVAN BIMA NAGAR ,"#D63, KPWD QUTRS, OPP BARATH PETROL BUNK, JEEVAN BHIMA NAGAR MAIN RD, JEEVAN BIMA NAGAR, BENGALURU, KARNATAKA 560075, INDIA",77.655901,"12.967452, "
13,Bangalore city ,HALAURU ,"NO.01. C.B.ROAD HALASURU, BENGALURU-560008",77.6252058,"12.9745829,  "
14,Bangalore city ,SHIVAJINAGAR,BRADWAY ROAD OLD POLICE STATION JUNCTION SHIVAJI NAGAR BENGALURU-560051,77.60365634,12.98790204
15,Bangalore city ,PULAKESHINAGARA,"M.M ROAD, NEAR EAST RAILWAY STATION, FRASER TOWN BANGALORE-560005",77.620049,12.999135
16,Bangalore city ,CUBBON PARK ,GROUND FLOOR VV TOWER DR.AMBEDKAR ROAD BENGALURU- 560001,77.59571,12.98278
17,Bangalore city ,SADASHIVANAGAR ,"NO.1, C.P.R.I.  COLONY, NEW BEL ROAD , BENGALURU-560012",77.572652,"13.015259, "
18,Bangalore city ,HIGH GROUNDS ,"RACE COURSE ROAD, IN FRONT OF BENGALURU TURF CLUB, BENGALURU-560001",77.582786,"12.984345,  "
19,Bangalore city ,HALASURU GATE ,"NR ROAD, OPP. BBMP MAIN OFFICE , BENGALURU-560002",77.5870789,12.9665161
20,Bangalore city ,ASHOKANAGARA ,"COMMISSARIATE ROAD, SHANTHALA NAGARA, ASHOKANGARA, BENGALURU.",77.610427,"12.971312,- "
21,Bangalore city ,WILSON GARDEN ,"NO 01 , 1ST FLOOR, 7TH CROSS WILSON GARDEN  MAIN ROAD BANGALURU- 560027  ",775962565,"12.9502061,"
22,Bangalore city ,UPPARPET ,LTP ROAD UPPARPET POLICE STATION BUILDING,"
77.574908",12.974473
23,Bangalore city ,CHICKPET ,MINTO EYE HOSPITAL OPPOSITE V V PURAM POLICE STATION BUILDING PAMPA MAHAKAVI ROAD CHAMARAJAPET BANGALURU-18,"
 77.5718444",12.9599073
24,Bangalore city ,CITY MARKET ,"NO 1,  4-81/A  NEAR BALPET CIRCLE  KV TEMPLE STREET CHICKPET","
 77.57355",12.97069
25,Bangalore city ,MAGADI ROAD ,"NEAR PRASANNA THEATER, MAGADI MAIN ROAD, BENGALURU-560023.","
77.551146","12.97475,"
26,Bangalore city ,VIAJAYANAGARA ,# 1777 9 TH CROSS RD HAMPI NAGARA RPC LAYOUT VIJAYANAGARA BENGLORE-560104,"
77.540477",12.960409
27,Bangalore city ,BYATARAYANAPURA ,M M ROAD 5TH CROSS ROAD NO 203.204 KAVIKA KOWTRAS MYSORE ROAD BENGALURU -560026,"
77.26466",12.16524
28,Bangalore city ,KAMAKSHIPALYA ,"NO-25, ASTAGRAMA LAYOUT. MAGADI MAIN ROAD, BANGALORE-560079","
77 31 59. 56932",12 58 55. 13736
29,Bangalore city ,KENGERI ,"MYSORE ROAD, KENGERI, BENGALURU 560060","
77.481527",12.910290 /
30,Bangalore city ,MALLESSWARAM ,"NO 05, 05TH CROSS,  NEAR K.C.G. HOSPITAL MALLESHWRAM  BANGALORE PIN- 560003
","
77.5698138",12.9966945
31,Bangalore city ,RAJAJINAGAR ,"2ND BLOCK, 12TH MAIN, BESIDE BDA COMPLEX, RAJAJINAGAR, BANGALORE -10.",77.55421083,"12.994617436757832, "
32,Bangalore city ,YESHWANTHAPURA ,"90 ROOT, YESHWANTHAPURA CIRCLE, BANGALURU-22","
77.558082",13.018253
33,Bangalore city ,PEENYA ,"1ST MAIN ROAD, PEENYA FIRST STAGE, BANGALORE - 560058",77.52113355,13.03611356
34,Bangalore city ,JALAHALLI ,HMT MAIN ROAD JALAHALLI VILLAGE BENGALURU-560013 ," 
77.549403","13.048606,"
35,Bangalore city ,V.V.PURAM ,"V V PURAM TRAFFIC PS, NEAR KALASIPALYA PS, KALASIPALY MAIN ROAD, BENGALURU-56002","
77.577353",12.957269
36,Bangalore city ,BASAVANAGUDI ,"K.R.ROAD, BASAVANAGUDI, BANGALORE-560004","
 77.5742322",12.942119
37,Bangalore city ,JAYANAGARA ,"30TH CROSS, JAYANAGAR 4TH BLOCK, JAYANGAR ","    
77.58163","12.92865,"
38,Bangalore city ,BANASHANKARI,"9 TH MAIN ROAD, THYAGARAJANAGARA. BSK 2 ND STAGE ","
 77.568224",12.929294
39,Bangalore city ,K.S.LAYOUT ,"SUBRAMANYAPURA P.S BUILDING SRI.VENUGOPAL MILL OPP SUBRAMANYAPURA MAIN ROAD
BANAGALURU-560085
","
77.544571",12.901177
40,Bangalore city ,INTERNATIONAL AIRPORT ,"INTERNATIONAL AIRPORT TRAFFIC POLICE STATION, DEVANAHALLI TOWN, BANGALORE RURAL DIST-562110",77.712515,13.245204
41,Bangalore city ,R.T.NAGAR,"ANDNAGARA CROSS, 
B.B.ROAD, BENGALURU-560024
","
77.588537",13.033486
42,Bangalore city ,HEBBAL ,"UNDER BRIDGE ,HEBBAL RING ROAD ,TOWARDS TUMKUR ROAD -560024","
77.58901
",13.0424
43,Bangalore city ,CHIKKAJALA ," TTRSI BUILDING HEGDENAGARA, THANISANDRA MAIN ROAD, SRK NAGAR POST, BANGALORE-77
","
77.636399",13.070214
44,Bangalore city ,YELAHANKA ,AMBEDKAR COLONY DODDABALLAPUR MAIN ROAD,77.594037,13.095204
