Type of Crime,2021 Reported,2021 Detected,2022 Reported,2022 Detected,2023 Reported,2023 Detected,2021_Clearance_Rate,2022_Clearance_Rate,2023_Clearance_Rate,Crime_Trend_3Y
Murder,145,143,156,156,205,200,98.62,100.0,97.56,41.38
Murder (Gain),8,8,17,17,2,2,100.0,100.0,100.0,-75.0
Dacoity,35,35,23,23,36,34,100.0,100.0,94.44,2.86
Robbery,364,317,478,414,673,437,87.09,86.61,64.93,84.89
Chain Snatching,166,166,151,139,153,114,100.0,92.05,74.51,-7.83
HBT (Day),135,82,179,99,265,118,60.74,55.31,44.53,96.3
HBT( Night),654,361,702,333,879,264,55.2,47.44,30.03,34.4
House Thefts,591,290,912,339,1692,376,49.07,37.17,22.22,186.29
Servant Thefts,177,132,205,146,320,141,74.58,71.22,44.06,80.79
M.V.Thefts,4124,1563,5062,1965,5909,1437,37.9,38.82,24.32,43.28
Ordinary Thefts,1167,482,1369,531,2493,480,41.3,38.79,19.25,113.62
TOTAL,7566,3579,9254,4162,12627,3603,47.3,44.98,28.53,66.89
