Police Station,Year,Type,Date,Time,Place,Latitude,Longitude,Hour,Time_Category,Is_Night,Crime_Category,Is_Violent
Banashankari,2016.0,Murder,2016-07-29 00:00:00.000,21:00:00,"22nd Cross, Jayanagara 6th Block Bangalore",12.93297,77.58381,21.0,Night,1,Violent,1
Banashankari,2016.0,Murder,2016-11-13 00:00:00.000,23:45:00,"On the Road of 30th Cross, Opp Vinayaka texttile, 4th Block Jayanagara Bangalore",12.930433,77.549761,23.0,Night,1,Violent,1
Banashankari,2017.0,Murder,2017-10-05 00:00:00.000,21:00:00,"No. 282, 36th Cross Jayanagara 7th Block Bangalore",12.923736,77.58182,21.0,Night,1,Violent,1
Banashankari,2017.0,Murder,2017-07-19 00:00:00.000,19:30:00,"Near Transfaram, Opp Amejan, Kanakapura Main Road, Jayanagara 7th Block Bangalore",12.924123,77.576913,19.0,Evening,0,Violent,1
Banashankari,2018.0,Murder,2018-06-21 00:00:00.000,23:30:00,"No. 53, 2nd Floor, 8th Main 4th Block Jayanagar Bangalore",12.924377,77.582729,23.0,Night,1,Violent,1
Banashankari,2018.0,Murder,2018-07-17 00:00:00.000,21:15:00,"Ambedkar road Rajarajeshwari Slum, Shakambari Nagar Bangalore",12.920604,77.520557,21.0,Night,1,Violent,1
Banashankari,2015.0,Murder,2015-08-27 00:00:00.000,09:30:00,"Near Krishnarao Park, Divan Madava Rao Road, Basavanagudi , Bangalore.",12.940662,77.574095,9.0,Morning,0,Violent,1
Banashankari,2016.0,Murder,2016-06-18 00:00:00.000,21:00:00,"No.36/1, 2nd Floor Khazee Street, Basavanagudi , Bangalore.",12.93878218,77.57956109,21.0,Night,1,Violent,1
Banashankari,2017.0,Murder,2017-02-07 00:00:00.000,18:30:00,"Nettakallppa BBMP Play Ground, Behind Ganesha Team, Basavanagudi , Bangalore.",12.9399013,77.57337112,18.0,Evening,0,Violent,1
Banashankari,2019.0,Murder,2019-07-29 00:00:00.000,18:00:00,"No 69 Krishna Road out houes, Basavanagudi , Bangalore.",12.944557,77.57758,18.0,Evening,0,Violent,1
