Police_Station,Total_Crimes,Violent_Crimes,Violent_Rate,Night_Crimes,Night_Rate,Avg_Latitude,Avg_Longitude,Safety_Score
Banashankari,660,461,69.84848484848484,257,38.93939393939394,20989.26087667727,265350.5986406492,28.1
Basavanagudi,538,0,0.0,174,32.342007434944236,12.896165196558195,338898.54053778586,69.7
C K Achuktu,577,0,0.0,49,8.492201039861353,23833.04419115206,1989724.313880058,75.3
Girinagar,523,0,0.0,68,13.001912045889103,12.959663733505748,77.28755604126437,76.0
Hanumantha Nagar,629,0,0.0,42,6.677265500794912,13.629768756784143,512780.09145006014,73.9
J P Nagar,1043,0,0.0,138,13.231064237775648,1481307.7968296509,88339.07438840278,56.0
Jayanagar,874,0,0.0,116,13.272311212814644,15273.867619911323,548727.6588000582,62.5
K G Nagar,258,0,0.0,28,10.852713178294573,147690.493755357,303337.05115374207,86.8
K S Layout,887,0,0.0,121,13.641488162344984,46126.623700008575,294971.7913380205,61.9
Konanakunte,477,0,0.0,52,10.90146750524109,30121.205205781123,76.7462947737535,78.4
Puttenahalli,363,0,0.0,75,20.66115702479339,13.274893758632308,77.56156171931306,79.9
Shankarapua,102,0,0.0,16,15.686274509803921,12.911550862105264,77.56859898747369,91.4
Siddapura,480,76,15.833333333333332,112,23.333333333333332,57959.03333205252,76.83325671387824,66.7
Subramanyapura,970,0,0.0,209,21.54639175257732,12.896338988508903,92540.55823968421,56.3
Thalaghtappura,473,0,0.0,97,20.507399577167018,12.891727487931309,367777.3725692043,75.7
V V Puram,387,0,0.0,107,27.648578811369507,12.879478011403238,77.52192476342346,76.9
